t=2026-05-15T11:57:40+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-15T11:57:40+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T11:57:40+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T11:57:40+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T11:57:41+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T11:57:41+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T11:57:41+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T12:17:10+0700 lvl=info msg="join connections" obj=join id=072345508f22 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:17:10+0700 lvl=info msg="join connections" obj=join id=1c85bb2cbb62 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:17:10+0700 lvl=info msg="join connections" obj=join id=acd1dde7f6c9 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:17:42+0700 lvl=info msg="join connections" obj=join id=867961585997 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:18:12+0700 lvl=info msg="join connections" obj=join id=1186e8091313 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:18:42+0700 lvl=info msg="join connections" obj=join id=c6cd41adfab9 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:19:12+0700 lvl=info msg="join connections" obj=join id=444bb2a5caa4 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:19:42+0700 lvl=info msg="join connections" obj=join id=86a4947191d5 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:12+0700 lvl=info msg="join connections" obj=join id=2fe32b7177cc l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:18+0700 lvl=info msg="join connections" obj=join id=3b32f7572d7b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:20+0700 lvl=info msg="join connections" obj=join id=ccb177e4ba06 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:20+0700 lvl=info msg="join connections" obj=join id=851811bbd888 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:20+0700 lvl=info msg="join connections" obj=join id=dd2aee898faf l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:20:52+0700 lvl=info msg="join connections" obj=join id=e06504572232 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:21:18+0700 lvl=info msg="join connections" obj=join id=298eace73258 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:21:18+0700 lvl=info msg="join connections" obj=join id=46198282e32b l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:21:18+0700 lvl=info msg="join connections" obj=join id=ea56ec0b316d l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:21:18+0700 lvl=info msg="join connections" obj=join id=e5671f10ff23 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:21:51+0700 lvl=info msg="join connections" obj=join id=6a14c0743b86 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:22:21+0700 lvl=info msg="join connections" obj=join id=d9932e980c71 l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
t=2026-05-15T12:22:49+0700 lvl=info msg="join connections" obj=join id=b0a9c1c910ee l=[::1]:4000 r=[2001:ee0:50e6:ab0:5c2c:c5ef:c4b2:9216]:55916
